Stock,Date,Open,High,Low,Close,Volume,Market Cap
INTC,2015-03-02,25.7242610918953,26.373356395233788,25.592895057257493,26.319265365600586,25406400,99979698176
INTC,2015-03-03,26.234267756525554,26.566542952044355,26.20335775049115,26.350175857543945,27332000,99979698176
INTC,2015-03-04,26.164721957921493,26.589724227719405,26.056539883544616,26.365631103515625,23005800,99979698176
INTC,2015-03-05,26.473815413404054,26.65927251923945,25.95608602867059,26.064268112182617,21225800,99979698176
INTC,2015-03-06,25.91745374007336,26.025635839232816,25.561997429194818,25.646995544433594,32373100,99979698176
INTC,2015-03-09,25.654717056821404,25.708808090662096,25.09834876847112,25.28380584716797,33058800,99979698176
INTC,2015-03-10,24.912889223729554,25.04425229229912,24.34106605743827,24.49561309814453,50278900,99979698176
INTC,2015-03-11,24.704255327379663,25.469260258409935,24.68880179887664,24.982440948486328,49683600,99979698176
INTC,2015-03-12,23.962435959592653,24.418348270724135,23.630160735493067,23.800161361694336,107402400,99979698176
INTC,2015-03-13,23.66879695412079,23.939253636779885,23.460160289322378,23.900617599487305,47954700,99979698176
INTC,2015-03-16,23.900614909387,24.039706986177524,23.684249292838384,23.823341369628906,33074600,99979698176
INTC,2015-03-17,23.63016045263113,23.746070036102257,23.49879586499844,23.637887954711914,29215600,99979698176
INTC,2015-03-18,23.49879209568677,24.109251397315443,23.41379106030301,23.86970329284668,39834100,99979698176
INTC,2015-03-19,23.784705629611285,24.031979780786394,23.715159590359512,23.753795623779297,27414200,99979698176
INTC,2015-03-20,23.946979759789176,24.433802055311148,23.900616222934314,24.19425392150879,64777100,99979698176
INTC,2015-03-23,24.178800880659665,24.565167134625817,24.109254837036133,24.109254837036133,29694000,99979698176
INTC,2015-03-24,24.078346826008744,24.201983919621156,23.75379908680856,23.792436599731445,28471400,99979698176
INTC,2015-03-25,23.807887361702697,23.869705901318188,23.073792388002545,23.096973419189453,37691000,99979698176
INTC,2015-03-26,22.795610568106454,23.49106957880003,22.648790968712905,23.24379539489746,45450100,99979698176
INTC,2015-03-27,23.189700600939545,25.500170409679413,23.066063528984046,24.72743797302246,73857200,99979698176
INTC,2015-03-30,24.464712505392033,24.804713767460342,24.186528314726708,24.310165405273438,51391500,99979698176
INTC,2015-03-31,24.286982417511307,24.673348662845257,24.109254298386553,24.163345336914062,32098500,99979698176
INTC,2015-04-01,24.055162196419353,24.20198178483497,23.684250948299113,23.80788803100586,31532100,99979698176
INTC,2015-04-02,23.800160529102904,24.13243574157864,23.699705952105028,23.80788803100586,20909600,99979698176
INTC,2015-04-06,23.807885201705055,24.147887875678233,23.529702535608916,23.985614776611328,21490900,99979698176
INTC,2015-04-07,24.00879907663222,24.410620339356097,23.9547080362406,24.15561866760254,23258300,99979698176
INTC,2015-04-08,24.13243538107889,24.387437044586022,24.00107079843156,24.19425392150879,18250300,99979698176
INTC,2015-04-09,23.707437375279866,24.433806461728054,23.622436314158225,24.140167236328125,34167600,99979698176
INTC,2015-04-10,24.209713320847808,24.681080698381034,24.209713320847808,24.67335319519043,28084900,99979698176
INTC,2015-04-13,24.580613537182444,24.76606910844657,24.503340014021592,24.518795013427734,23489000,99979698176
INTC,2015-04-14,24.48016307699704,24.681073681219605,24.163342905611103,24.333343505859375,39754000,99979698176
INTC,2015-04-15,24.928344772125108,25.49244199200322,24.781526684113295,25.368804931640625,61083500,99979698176
INTC,2015-04-16,25.384258514291375,25.49244352789922,25.268350421321863,25.39971351623535,28903200,99979698176
INTC,2015-04-17,25.12152900393128,25.2683500463502,24.89743884841954,25.090621948242188,30593600,99979698176
